Gene	T.CD8	T.follicular_helper	T.CD4	T.NK	T.other	T.plasmacytoid
CD1D	16.92273192	48.61705515	19.385762931	16.81369609	170.52903972500002	66.0261555
CD1E	52.56295023	61.98706623	62.61568038	43.89394751	54.3460475	56.05248853
CD2	5000.0	5000.0	5000.0	4048.73564	5000.0	100.0
CD207	5.0	5.0	5.0	5.0	5.0	5.0
CD209	21.6089747	24.14453092	59.331898509999995	37.23726265	135.75443775	67.59477726
CD22	37.47048645	45.41225697	50.45901762	37.23133035	104.09289179999999	61.31684179999999
CD244	623.6947468999999	123.3772483	110.31077622000001	1763.1538	600.3442343300001	100.0
CD247	5508.526368	5302.661793	5388.038275	5000.0	7371.9972505000005	100.0
CD27	5506.313911	5710.976341	3349.7224165	161.9010951	4633.9891305	100.0
CD28	527.4027958	1326.705724	1045.66126485	74.87210452	1069.1769687	100.0
CD300A	738.0313132	46.819340000000004	213.84272909999999	5004.627197	1176.354722795	100.0
CD33	21.33635265	16.00738743	14.46439133	13.76631888	100.95680451499999	40.27892152
CD34	5.0	5.0	5.0	5.0	5.0	5.0
CD37	4472.430176	3602.317619	2787.2203099999997	1847.535448	3327.522854	100.0
CD38	318.883456	1145.360549	322.63289125000006	1142.742457	460.25933399999997	100.0
CD3D	5000.0	5000.0	5000.0	247.3614175	5000.0	100.0
CD3E	5787.182458	2993.594839	4082.4659059999994	1000.0	3525.668952	100.0
CD3G	3348.5604670000002	2416.241107	2483.76321	185.1784082	1209.7681859999998	100.0
CD4	164.9509326	4363.016183	2606.58341	78.52262352	2962.1095955999995	100.0
CD40	203.0571538	129.5124355	144.4701726	184.4841305	304.0307946	100.0
CD40LG	186.4853205	809.450384	610.3179834	40.7799804	240.40875724	100.0
CD5	947.6570017000001	1464.692495	1213.8782535	242.46610139999999	2011.0161185	100.0
CD6	1720.140098	1835.581311	1839.3287997	486.11385329999996	1217.3794384	100.0
CD68	51.10845475	26.97070262	22.248897185	53.87830871	60.53050811	42.50232524
CD69	3798.407191	6081.160743	3838.79334	3626.485385	2555.85924965	100.0
CD7	2234.707961	2132.53501	1711.103145	1886.761046	4166.90488315	100.0
CD70	247.6214563	214.23595440000003	221.9190487	206.5584021	1150.69105455	100.0
CD72	18.812705899999997	10.23080265	27.50386753	44.189705200000006	24.565455545000003	25.33883713
CD79A	425.4456431	437.05410539999997	156.55093575	144.3489368	310.44424425	100.0
CD79B	229.23466319999997	437.05410539999997	275.4161967	309.3680794	570.64076515	100.0
CD80	73.52859919	109.70805890000001	122.99519649999999	151.2245043	294.67234510000003	100.0
CD86	108.8922088	29.58459024	64.017101835	98.95440929	258.88516385	100.0
